"Date","Open","High","Low","Close / Last","Volume"
"01/04/2017","62.48","62.75","62.12","62.3","21,325,140"
"01/03/2017","62.79","62.84","62.125","62.58","20,655,190"
"12/30/2016","62.96","62.99","62.03","62.14","25,575,720"
"12/29/2016","62.86","63.2","62.73","62.9","10,248,460"
"12/28/2016","63.4","63.4","62.83","62.99","14,348,340"
"12/27/2016","63.21","64.07","63.21","63.28","11,743,650"
"12/23/2016","63.45","63.54","62.8","63.24","12,399,540"
"12/22/2016","63.84","64.1","63.405","63.55","22,175,270"
"12/21/2016","63.43","63.7","63.12","63.54","17,084,370"
"12/20/2016","63.69","63.8","63.025","63.54","26,017,470"
"12/19/2016","62.56","63.77","62.42","63.62","34,318,500"
"12/16/2016","62.95","62.95","62.115","62.3","42,452,660"
